,Question Text,var_type,checkbox_text,notes,num_categories,num_missing
ID.completed,Case completed in Snap Interviewer,Boolean,,,2,0
ID.format,The published format which was employed,Categorical,,,3,0
ID.language,What language would you like to complete the survey in?,Categorical,,,5,0
ID.site,Questionnaire location,Categorical,,,19,2159
Q1,"Which, if any, of the following degrees are you currently studying for?",Boolean,,,2,0
Q12:1,What prompted you to study outside your country of upbringing? ,Check Box,To study at a specific university,Only for students studying outside their home country (Q4),2,0
Q12:10,What prompted you to study outside your country of upbringing? ,Check Box,Political reasons,Only for students studying outside their home country (Q4),2,0
Q12:11,What prompted you to study outside your country of upbringing? ,Check Box,"Other, please specify",Only for students studying outside their home country (Q4),2,0
Q12:2,What prompted you to study outside your country of upbringing? ,Check Box,Lack of quality PhD programmes in my home country,Only for students studying outside their home country (Q4),2,0
Q12:3,What prompted you to study outside your country of upbringing? ,Check Box,Lack of funding opportunities in my home country,Only for students studying outside their home country (Q4),2,0
Q12:4,What prompted you to study outside your country of upbringing? ,Check Box,Lack of PhD programmes in my subject of choice,Only for students studying outside their home country (Q4),2,0
Q12:5,What prompted you to study outside your country of upbringing? ,Check Box,Chance to pursue a specific research question,Only for students studying outside their home country (Q4),2,0
Q12:6,What prompted you to study outside your country of upbringing? ,Check Box,Higher salaries post-study,Only for students studying outside their home country (Q4),2,0
Q12:7,What prompted you to study outside your country of upbringing? ,Check Box,More job opportunities post-study,Only for students studying outside their home country (Q4),2,0
Q12:8,What prompted you to study outside your country of upbringing? ,Check Box,Family reasons,Only for students studying outside their home country (Q4),2,0
Q12:9,What prompted you to study outside your country of upbringing? ,Check Box,To experience another culture,Only for students studying outside their home country (Q4),2,0
Q13,Do you have a job alongside your studies?,Boolean,,,2,0
Q14,What is your main reason for having a job?,Categorical,,Only for students having an extra job (Q13),6,5486
Q15.a,The difficulty of getting funding / low success rates for grant applications,Ordinal,,What concerns you the most since you started your PhD (ranking),15,3329
Q15.b,Inability to finish my studies in the time period I had set out to ,Ordinal,,What concerns you the most since you started your PhD (ranking),15,2910
Q15.c,Impact of a poor relationship with my supervisor/PI,Ordinal,,What concerns you the most since you started your PhD (ranking),15,4069
Q15.d,The number of available faculty research jobs beyond postdoc,Ordinal,,What concerns you the most since you started your PhD (ranking),15,3100
Q15.e,The high numbers of PhD holders who are doing or have done multiple postdocs,Ordinal,,What concerns you the most since you started your PhD (ranking),15,3868
Q15.f,The difficulty of maintaining a work/life balance,Ordinal,,What concerns you the most since you started your PhD (ranking),15,2463
Q15.g,Uncertainty about the value of a PhD,Ordinal,,What concerns you the most since you started your PhD (ranking),15,3675
Q15.h,Uncertainty about my job/career prospects,Ordinal,,What concerns you the most since you started your PhD (ranking),15,2333
Q15.i,Student debt during my PhD,Ordinal,,What concerns you the most since you started your PhD (ranking),15,5140
Q15.j,"Financial worries after my PhD (cost of living, inability to save for a house, children, retirement)",Ordinal,,What concerns you the most since you started your PhD (ranking),15,2965
Q15.k,Political landscape ,Ordinal,,What concerns you the most since you started your PhD (ranking),15,4543
Q15.l,Impostor syndrome,Ordinal,,What concerns you the most since you started your PhD (ranking),15,3798
Q15.m,Concern about my mental health as a result of PhD study,Ordinal,,What concerns you the most since you started your PhD (ranking),15,3208
Q15.n,Poor support and acknowledgement of my parenting/elder care responsibilities ,Ordinal,,What concerns you the most since you started your PhD (ranking),15,4825
Q17,"Overall, what do you enjoy most about life as a PhD student?       ",Categorical,,,10,0
Q18.a,How satisfied are you with your decision to pursue a PhD?,Ordinal,,,5,0
Q19.a,How satisfied are you with your PhD experience?,Ordinal,,How satisfied are you with each of the following attributes or aspects of your PhD?,7,0
Q20,"Since the very start of your graduate school experience, would you say your level of satisfaction has:",Categorical,,,5,0
Q21.a,Availability of funding,Ordinal,,,8,168
Q21.b,Hours worked,Ordinal,,,8,47
Q21.c,Social environment,Ordinal,,,8,31
Q21.d,Degree of independence,Ordinal,,,8,35
Q21.e,Recognition from supervisor/PI ,Ordinal,,,8,49
Q21.f,Overall relationship with supervisor/PI,Ordinal,,,8,56
Q21.g,Opportunities to collaborate,Ordinal,,,8,95
Q21.h,Number of publications,Ordinal,,,8,324
Q21.i,Stipend / financial support,Ordinal,,,8,106
Q22.a,Vacation time,Ordinal,,,8,128
Q22.b,"Benefits (health care, leave, etc.)",Ordinal,,,8,276
Q22.c,Teaching duties,Ordinal,,,8,1156
Q22.d,Guidance received from adviser in lab/research,Ordinal,,,8,110
Q22.e,Guidance received from other mentors in lab/research,Ordinal,,,8,247
Q22.f,Ability to attend meetings and conferences,Ordinal,,,8,102
Q22.g,Ability to present research at conferences,Ordinal,,,8,236
Q22.h,Work-life balance,Ordinal,,,8,45
Q22.i,Career pathway guidance and advice,Ordinal,,,8,152
Q23,To what extent does your PhD programme compare to your original expectations?,Categorical,,,3,0
Q24,"On average, how many hours a week do you typically spend on your PhD programme?",Ordinal,,,9,0
Q25,"On average, how much one-on-one contact time do you spend with your supervisor each week?",Ordinal,,,4,307
Q27.a,Members of my department make time for frank conversations about my career,Ordinal,,Agreement with statement (from strong disagree to strong agree),6,392
Q27.b,Members of my department are open to the idea of me pursuing a career outside academia,Ordinal,,Agreement with statement (from strong disagree to strong agree),6,683
Q27.c,Members of my department have useful advice for careers outside academia,Ordinal,,Agreement with statement (from strong disagree to strong agree),6,593
Q27.d,Members of my department have contacted potential employers on my behalf,Ordinal,,Agreement with statement (from strong disagree to strong agree),6,1317
Q27.e,Members of my department have encouraged me to attend career-promoting training and events,Ordinal,,Agreement with statement (from strong disagree to strong agree),6,429
Q27.f,Members of my department have discouraged me from attending career-promoting training and events,Ordinal,,Agreement with statement (from strong disagree to strong agree),6,568
Q28,Have you ever sought help for anxiety or depression caused by PhD study?,Categorical,,,4,8
Q29,Did you seek help for anxiety or depression within your institution? ,Categorical,,Only for students answering yes to seeking help for anxiety/depression (Q28),8,4386
Q3,Which was the most important reason you decided to enrol in a PhD programme?,Categorical,,,7,0
